num_threads, time_taken1, time_taken2
1, 765.7340000150725, 732.1590000065044
2, 873.016000026837, 772.9839999810793
3, 980.8279999997467, 858.6950000026263
4, 1302.2069999715313, 1315.0039999745786
5, 1747.203000006266, 1937.8520000027493
6, 2050.842000055127, 2115.629000007175
7, 2152.7830000268295, 2286.327000008896
8, 2507.4510000413284, 2550.9409999940544
9, 3283.6370000150055, 3335.347999993246
10, 3549.275000055786, 3363.4709999896586
11, 3724.3329999619164, 3673.438999976497
12, 3944.8120000306517, 3891.6450000251643
13, 4749.55999996746, 4696.042000025045
14, 4999.397000006866, 5154.660000000149
15, 5121.7830000096, 5374.452000018209
16, 5368.741999962367, 5664.786999986973
17, 6294.557000044733, 6149.424000002909
18, 6836.458000005223, 6821.0589999798685
19, 7015.106000006199, 6900.029000011273
20, 6835.032999981195, 7167.827999975998
21, 7882.641000032891, 8163.480999995954
22, 8010.850000020582, 8368.266000004951
23, 8306.772999989334, 8442.532999964897
24, 8722.157999989577, 8669.395999982953
25, 9630.726000003051, 9637.366999988444
26, 10264.564999961294, 10315.875999978743
27, 10911.370999994688, 10062.34800000675
28, 11390.963000012562, 10902.082000044174
29, 12976.628999982495, 13432.540999958292
30, 12694.938000000548, 12724.28399999626
