game,turns,kills,points
1,7,1,11
2,19,7,79
3,16,5,66
4,9,1,11
5,15,3,41
6,14,4,53
7,10,2,33
8,24,8,101
9,19,6,78
10,13,3,32
11,9,2,22
12,5,0,0
13,22,7,91
14,15,4,58
15,13,4,53
16,16,6,68
17,13,3,41
18,14,3,46
19,13,3,33
20,9,2,23
21,15,5,56
22,27,9,102
23,19,5,68
24,15,5,56
25,9,2,20
26,16,5,66
27,16,5,66
28,15,5,62
29,15,4,44
30,9,2,22
31,12,3,46
32,13,4,44
33,9,2,22
34,23,9,100
35,11,2,22
36,14,4,53
37,18,6,73
38,15,5,64
39,9,2,22
40,24,7,96
41,11,4,44
42,5,0,0
43,11,3,32
44,11,4,40
45,9,2,25
46,25,10,110
47,19,6,68
48,25,9,95
49,11,3,43
50,13,4,48
