actions, games, valid_actions, av_reward, av_kills, av_points, av_game_time, games_per_min
4578,400,0.5760157273918742,-3.350808213193534,0.5075,7.1625,92.25951000000008,650.3394609401237
8953,800,0.5917714285714286,-3.3058285714285716,0.47,6.93,107.8343375,556.4090380765774
13425,1200,0.6035330948121646,-3.209078711985689,0.5,7.4375,110.81113999999984,541.4618060963915
17803,1600,0.6037003197807218,-3.183873915029694,0.4825,6.9075,245.1597275,244.73840223207134
22052,2000,0.6410920216521534,-2.9498705577783007,0.54,7.6375,108.73821750000018,551.7839208648045
26107,2400,0.6389642416769421,-2.96596794081381,0.4625,6.705,105.33422000000006,569.6154583002558
30209,2800,0.6572403705509507,-2.9115065821550465,0.525,7.57,108.3189850000001,553.9195183558999
34195,3200,0.6741093828399398,-2.7970396387355745,0.53,7.555,106.31398250000028,564.3660277706166
38204,3600,0.6642554252930906,-2.8635569967572962,0.505,7.25,108.34158499999991,553.8039710236845
42188,4000,0.6724397590361446,-2.7120983935742973,0.515,7.5025,105.78775250000035,567.1734069593718
46134,4400,0.6806893056259503,-2.6376077040040546,0.52,7.8175,104.1177625000001,576.2705474966382
50056,4800,0.6891891891891891,-2.5693523712391637,0.595,8.1225,104.85156499999982,572.2375245424339
53860,5200,0.7000525762355415,-2.5034174553102,0.5225,7.445,102.70718249999976,584.1850447022061
57736,5600,0.707172342621259,-2.399638802889577,0.6325,8.5575,336.13056500000033,178.50206511270386
61516,6000,0.7084656084656085,-2.47989417989418,0.555,7.77,1000.0220925000008,59.99867447928402
65302,6400,0.7282091917591125,-2.16270470153196,0.65,8.8275,330.25567999999913,181.67742035504176
69064,6800,0.7240829346092504,-2.2339181286549707,0.5875,8.24,129.41180250000033,463.6362282335094
72704,7200,0.7365384615384616,-2.1667582417582416,0.53,7.56,957.7473099999997,62.64700445882747
76338,7600,0.7589433131535498,-2.0016510731975785,0.5825,8.4525,1000.020830000001,59.99875022603273
79944,8000,0.752357182473655,-2.0784803105934553,0.535,7.7225,999.9828700000002,60.001027817606506
83465,8400,0.7583072990627663,-1.9534223232036354,0.5225,7.5375,1000.0752599999995,59.99548473981851
87052,8800,0.752439364371341,-1.94954000557569,0.605,8.3225,999.8975875000003,60.006145379363645
90598,9200,0.7825719120135364,-1.77834179357022,0.62,8.605,1000.1414075000002,59.99151674959522
94180,9600,0.7777777777777778,-1.8031825795644891,0.6175,8.91,999.7900524999993,60.012599495232564
97763,10000,0.7756070332123919,-1.7331844822774212,0.635,8.6475,1000.1251749999996,59.9924904400092
101316,10400,0.8004503236701379,-1.52293836194765,0.695,9.66,1000.0380449999985,59.997717386842105
104833,10800,0.7978390673869775,-1.6212681262439579,0.68,9.0575,999.9615600000019,60.00230648866131
108356,11200,0.8007380073800738,-1.4277604314504684,0.6225,8.7125,999.902167499999,60.00587052432813
111862,11600,0.8148887621220764,-1.2863662293211637,0.7575,10.2025,1000.0596874999977,59.99641896374324
115347,12000,0.8203730272596843,-1.3919655667144906,0.73,9.8575,927.4291174999973,64.69497114964172
118662,12400,0.8491704374057315,-1.2102564102564102,0.665,9.1725,88.0840075000003,681.1679180241634
122055,12800,0.8328912466843501,-1.1635720601237842,0.6875,9.3775,90.93827250000089,659.7882096341715
125424,13200,0.8539626001780944,-0.9913921044820422,0.71,9.96,90.99743500000332,659.3592445764851
128747,13600,0.8510382184772796,-1.0562744507974722,0.69,9.5625,90.16947750000283,665.4136373364049
132132,14000,0.8664697193500739,-0.8322008862629247,0.805,10.7975,91.76717749999835,653.8285434353811
