iterations, average_reward
400,-0.005
800,-0.2975
1200,-0.4325
1600,-0.3275
2000,-0.4925
2400,-0.4175
2800,-0.395
3200,-0.305
3600,-0.3875
4000,-0.545
4400,-0.5075
4800,-0.425
5200,-0.395
5600,-0.47
6000,-0.455
6400,-0.47
6800,-0.3575
7200,-0.3725
7600,-0.335
8000,-0.4475
8400,-0.3575
8800,-0.3275
9200,-0.44
9600,-0.35
10000,-0.4025
10400,-0.215
10800,-0.41
11200,-0.4325
11600,-0.44
12000,-0.4775
12400,-0.5225
12800,-0.3125
13200,-0.4025
13600,-0.17
14000,-0.3575
14400,-0.2675
14800,-0.3725
15200,-0.2225
15600,-0.3425
16000,-0.455
16400,-0.26
16800,-0.3725
17200,-0.4175
17600,-0.395
18000,-0.32
18400,-0.2225
18800,-0.305
19200,-0.3275
19600,-0.365
20000,-0.2225
20400,-0.2375
20800,-0.305
21200,-0.3125
21600,-0.1775
22000,-0.305
22400,-0.425
22800,-0.32
23200,-0.2975
23600,-0.365
24000,-0.3575
24400,-0.3575
24800,-0.2225
25200,-0.23
25600,-0.1475
26000,-0.4175
26400,-0.32
26800,-0.2375
27200,-0.2675
27600,-0.4025
28000,-0.305
28400,-0.2525
28800,-0.1625
29200,-0.47
29600,-0.2375
30000,-0.29
30400,-0.1175
30800,-0.1775
31200,-0.23
31600,-0.2
32000,-0.1925
32400,-0.2675
32800,-0.32
33200,-0.1925
33600,-0.065
34000,-0.2675
34400,-0.095
34800,-0.3575
35200,-0.2
35600,-0.2225
36000,-0.2675
36400,-0.0575
36800,-0.215
37200,-0.1925
37600,-0.185
38000,-0.155
38400,-0.155
38800,-0.215
39200,-0.23
39600,-0.2
40000,-0.1775
40400,-0.155
40800,-0.2075
41200,-0.1475
41600,-0.1175
42000,-0.0725
42400,-0.2
42800,-0.2225
43200,-0.2075
43600,-0.1775
44000,-0.275
44400,-0.1775
44800,-0.125
45200,-0.1175
45600,-0.23
46000,-0.0425
46400,-0.0125
46800,-0.08
47200,-0.1175
47600,-0.14
48000,-0.1625
48400,-0.2525
48800,-0.02
49200,-0.0425
49600,-0.1625
50000,0.0175
50400,0.04
50800,-0.0275
51200,-0.1325
51600,-0.1475
52000,-0.1475
52400,0.01
52800,-0.1325
53200,-0.065
53600,0.01
54000,-0.0725
54400,-0.0725
54800,-0.0425
55200,0.0325
55600,0.0625
56000,-0.0875
56400,-0.125
56800,0.085
57200,-0.095
57600,0.1225
58000,0.0175
58400,-0.11
58800,-0.14
59200,-0.0725
59600,0.0175
60000,-0.05
60400,-0.095
60800,-0.125
61200,-0.0275
61600,0.0325
62000,-0.0575
62400,0.1
62800,0.0175
63200,-0.035
63600,-0.08
64000,0.07
64400,-0.0425
64800,-0.005
65200,0.0925
65600,0.0325
66000,0.1225
66400,-0.0575
66800,0.115
67200,-0.005
67600,0.0925
68000,0.0175
68400,-0.005
68800,0.0925
69200,0.085
69600,-0.02
70000,-0.005
70400,0.145
70800,-0.095
71200,-0.0575
71600,0.0625
72000,0.055
72400,-0.005
72800,0.055
73200,0.0925
73600,0.1375
74000,0.07
74400,0.1675
74800,0.07
75200,0.1675
75600,0.145
76000,0.0475
76400,0.0325
76800,0.0625
77200,0.2275
77600,0.055
78000,-0.005
78400,0.16
78800,0.1825
79200,0.0775
79600,0.0925
80000,0.01
80400,0.175
80800,0.055
81200,0.115
81600,0.2275
82000,0.1
82400,0.1375
82800,0.1
83200,0.1225
83600,0.1375
84000,0.1825
84400,0.1675
84800,0.115
85200,0.0775
85600,0.2125
86000,0.19
86400,0.16
86800,0.07
87200,0.1375
87600,0.2725
88000,0.22
88400,0.1225
88800,0.145
89200,0.1075
89600,0.1825
90000,0.16
90400,0.2575
90800,0.16
91200,0.2575
91600,0.19
92000,0.2125
92400,0.22
92800,0.205
93200,0.1525
93600,0.28
94000,0.31
94400,0.1975
94800,0.1975
95200,0.265
95600,0.2575
96000,0.175
96400,0.265
96800,0.25
97200,0.1675
97600,0.2725
98000,0.2125
98400,0.19
98800,0.175
99200,0.2725
99600,0.265
100000,0.2125
100400,0.3925
100800,0.34
101200,0.1525
101600,0.1825
102000,0.2425
102400,0.415
102800,0.4075
103200,0.3175
103600,0.3475
104000,0.325
104400,0.46
104800,0.1975
105200,0.2725
105600,0.355
106000,0.25
106400,0.3475
106800,0.3475
107200,0.3475
107600,0.2875
108000,0.4225
108400,0.31
108800,0.3025
109200,0.325
109600,0.295
110000,0.3475
110400,0.3025
110800,0.28
111200,0.385
111600,0.4075
112000,0.2275
112400,0.3625
112800,0.4
113200,0.4
113600,0.31
114000,0.4375
114400,0.4
114800,0.3925
115200,0.31
115600,0.4075
116000,0.4
116400,0.4
116800,0.4225
117200,0.3625
117600,0.385
118000,0.385
118400,0.4375
118800,0.4525
119200,0.43
119600,0.4
120000,0.31
