iterations, average_reward
400,0.0025
800,-0.335
1200,-0.26
1600,-0.44
2000,-0.245
2400,-0.38
2800,-0.4475
3200,-0.245
3600,-0.4025
4000,-0.2975
4400,-0.3575
4800,-0.35
5200,-0.4925
5600,-0.3425
6000,-0.29
6400,-0.1925
6800,-0.305
7200,-0.335
7600,-0.3725
8000,-0.275
8400,-0.3275
8800,-0.305
9200,-0.185
9600,-0.29
10000,-0.395
10400,-0.3575
10800,-0.41
11200,-0.1775
11600,-0.2975
12000,-0.2825
12400,-0.1475
12800,-0.35
13200,-0.11
13600,-0.305
14000,-0.26
14400,-0.2825
14800,-0.32
15200,-0.185
15600,-0.14
16000,-0.29
16400,-0.32
16800,-0.155
17200,-0.1475
17600,-0.3875
18000,-0.2675
18400,-0.2825
18800,-0.245
19200,-0.23
19600,-0.365
20000,-0.275
20400,-0.1475
20800,-0.2225
21200,-0.41
21600,-0.1925
22000,-0.2675
22400,-0.215
22800,-0.1475
23200,-0.2975
23600,-0.0875
24000,-0.215
24400,-0.0725
24800,-0.155
25200,-0.1175
25600,-0.11
26000,-0.2525
26400,-0.155
26800,-0.2525
27200,-0.3425
27600,-0.215
28000,-0.11
28400,-0.125
28800,-0.2675
29200,-0.245
29600,-0.23
30000,-0.215
30400,-0.095
30800,-0.065
31200,-0.26
31600,-0.1925
32000,-0.2
32400,-0.1775
32800,-0.0425
33200,-0.155
33600,-0.1925
34000,-0.05
34400,-0.08
34800,-0.1475
35200,-0.08
35600,-0.17
36000,-0.1025
36400,-0.2075
36800,-0.1025
37200,-0.1475
37600,-0.095
38000,-0.1325
38400,-0.2825
38800,-0.1475
39200,-0.2
39600,-0.035
40000,-0.0575
40400,-0.1325
40800,-0.155
41200,0.0025
41600,-0.035
42000,-0.0125
42400,-0.125
42800,-0.1325
43200,-0.0425
43600,-0.08
44000,-0.17
44400,-0.1175
44800,-0.035
45200,-0.1625
45600,0.055
46000,0.07
46400,-0.05
46800,0.04
47200,-0.02
47600,-0.05
48000,-0.035
48400,-0.035
48800,-0.1325
49200,-0.0425
49600,-0.1325
50000,-0.0875
50400,0.0475
50800,-0.0575
51200,0.025
51600,-0.0275
52000,-0.185
52400,-0.0875
52800,0.0475
53200,0.1225
53600,0.0325
54000,-0.035
54400,0.13
54800,-0.005
55200,-0.0275
55600,0.0625
56000,-0.0275
56400,0.0475
56800,0.055
57200,0.13
57600,-0.0275
58000,0.055
58400,0.085
58800,-0.02
59200,0.025
59600,0.055
60000,-0.0575
60400,0.04
60800,0.1075
61200,0.0025
61600,0.0775
62000,0.0325
62400,0.07
62800,0.07
63200,0.01
63600,-0.02
64000,-0.0425
64400,-0.0575
64800,0.0625
65200,0.0175
65600,0.145
66000,0.1675
66400,0.085
66800,0.0475
67200,0.13
67600,0.1975
68000,0.205
68400,0.1
68800,0.1
69200,0.1
69600,0.1
70000,0.0925
70400,0.085
70800,0.1525
71200,0.085
71600,0.115
72000,0.1075
72400,0.1675
72800,0.025
73200,0.1075
73600,0.13
74000,0.1675
74400,0.115
74800,0.1525
75200,0.16
75600,0.1975
76000,0.1975
76400,0.13
76800,0.115
77200,0.04
77600,0.0925
78000,0.235
78400,0.205
78800,0.2275
79200,0.1075
79600,0.0625
80000,0.0625
80400,0.1375
80800,0.2575
81200,0.205
81600,0.07
82000,0.1675
82400,0.13
82800,0.13
83200,0.145
83600,0.2125
84000,0.175
84400,0.1825
84800,0.295
85200,0.28
85600,0.1675
86000,0.295
86400,0.235
86800,0.265
87200,0.16
87600,0.235
88000,0.1675
88400,0.1825
88800,0.25
89200,0.1975
89600,0.2425
90000,0.3475
90400,0.2425
90800,0.2425
91200,0.3175
91600,0.295
92000,0.3325
92400,0.295
92800,0.34
93200,0.3775
93600,0.265
94000,0.235
94400,0.16
94800,0.295
95200,0.3475
95600,0.205
96000,0.235
96400,0.235
96800,0.265
97200,0.265
97600,0.3025
98000,0.31
98400,0.2875
98800,0.31
99200,0.1975
99600,0.28
100000,0.355
100400,0.3025
100800,0.295
101200,0.3925
101600,0.3475
102000,0.3625
102400,0.295
102800,0.385
103200,0.265
103600,0.31
104000,0.31
104400,0.37
104800,0.34
105200,0.325
105600,0.3175
106000,0.3025
106400,0.4525
106800,0.3625
107200,0.325
107600,0.415
108000,0.3625
108400,0.385
108800,0.4
109200,0.235
109600,0.4225
110000,0.3775
110400,0.4375
110800,0.2425
111200,0.3475
111600,0.43
112000,0.445
112400,0.3775
112800,0.3775
113200,0.43
113600,0.3775
114000,0.4075
114400,0.415
114800,0.2875
115200,0.4375
115600,0.4
116000,0.3625
116400,0.4675
116800,0.385
117200,0.4375
117600,0.4675
118000,0.4375
118400,0.415
118800,0.535
119200,0.4075
119600,0.4825
120000,0.535
