iterations, average_reward
400,-0.005
800,-0.3125
1200,-0.2375
1600,-0.1775
2000,-0.2075
2400,-0.14
2800,-0.29
3200,-0.1025
3600,-0.11
4000,-0.2075
4400,-0.1325
4800,-0.1775
5200,-0.185
5600,-0.1925
6000,-0.185
6400,-0.185
6800,-0.23
7200,-0.215
7600,-0.17
8000,-0.215
8400,-0.23
8800,-0.2225
9200,-0.1175
9600,-0.1325
10000,-0.14
10400,-0.1625
10800,-0.2225
11200,-0.1925
11600,-0.2375
12000,-0.1325
12400,-0.185
12800,-0.23
13200,-0.185
13600,-0.1925
14000,-0.14
14400,-0.05
14800,-0.095
15200,-0.05
15600,-0.1925
16000,-0.095
16400,-0.1475
16800,-0.17
17200,-0.17
17600,-0.185
18000,-0.11
18400,-0.14
18800,-0.095
19200,-0.3125
19600,-0.0425
20000,-0.215
20400,-0.11
20800,0.0325
21200,-0.185
21600,-0.0575
22000,-0.2
22400,-0.11
22800,-0.0875
23200,0.0475
23600,-0.0125
24000,-0.17
24400,-0.05
24800,-0.035
25200,-0.0125
25600,-0.1175
26000,-0.1475
26400,-0.0875
26800,-0.05
27200,-0.0275
27600,-0.0275
28000,0.13
28400,-0.14
28800,-0.0575
29200,-0.05
29600,-0.02
30000,-0.08
30400,0.055
30800,-0.0275
31200,-0.155
31600,-0.08
32000,0.0025
32400,0.0775
32800,-0.05
33200,0.0775
33600,0.0625
34000,0.0025
34400,-0.065
34800,0.0625
35200,0.01
35600,-0.0575
36000,-0.1325
36400,0.07
36800,0.0025
37200,-0.095
37600,0.175
38000,0.115
38400,-0.0275
38800,0.01
39200,0.025
39600,-0.02
40000,0.0925
40400,-0.0125
40800,0.085
41200,0.055
41600,-0.1475
42000,0.07
42400,0.0325
42800,0.115
43200,0.0775
43600,0.0325
44000,-0.0125
44400,0.085
44800,0.0175
45200,0.0475
45600,0.025
46000,0.175
46400,0.025
46800,0.16
47200,0.01
47600,0.07
48000,0.0625
48400,0.07
48800,0.01
49200,0.025
49600,0.115
50000,0.16
50400,0.0625
50800,0.025
51200,-0.005
51600,0.1075
52000,-0.035
52400,0.115
52800,-0.0125
53200,-0.005
53600,0.1225
54000,0.115
54400,0.0925
54800,0.0625
55200,0.01
55600,0.0925
56000,0.115
56400,0.1525
56800,0.0925
57200,0.1375
57600,0.07
58000,0.205
58400,0.115
58800,0.1
59200,0.115
59600,0.1075
60000,0.25
60400,0.22
60800,0.1
61200,0.145
61600,0.13
62000,0.1975
62400,0.2425
62800,0.19
63200,0.1675
63600,0.13
64000,0.0325
64400,0.265
64800,0.19
65200,0.265
65600,0.0175
66000,0.16
66400,0.1675
66800,0.1
67200,0.16
67600,0.2275
68000,0.28
68400,0.1975
68800,0.2725
69200,0.22
69600,0.19
70000,0.2125
70400,0.22
70800,0.25
71200,0.22
71600,0.0925
72000,0.175
72400,0.115
72800,0.1075
73200,0.25
73600,0.1525
74000,0.28
74400,0.1825
74800,0.235
75200,0.2725
75600,0.115
76000,0.2275
76400,0.19
76800,0.1225
77200,0.16
77600,0.2725
78000,0.1525
78400,0.2275
78800,0.355
79200,0.3175
79600,0.28
80000,0.28
80400,0.2875
80800,0.2275
81200,0.1975
81600,0.2875
82000,0.3175
82400,0.37
82800,0.385
83200,0.2575
83600,0.2275
84000,0.2275
84400,0.2425
84800,0.265
85200,0.28
85600,0.385
86000,0.2425
86400,0.1975
86800,0.3625
87200,0.2875
87600,0.37
88000,0.2275
88400,0.355
88800,0.385
89200,0.3175
89600,0.31
90000,0.3175
90400,0.3025
90800,0.265
91200,0.3175
91600,0.325
92000,0.3475
92400,0.2575
92800,0.3775
93200,0.295
93600,0.2725
94000,0.2575
94400,0.4375
94800,0.4
95200,0.4
95600,0.3175
96000,0.3325
96400,0.4225
96800,0.415
97200,0.4075
97600,0.4525
98000,0.43
98400,0.49
98800,0.3925
99200,0.43
99600,0.37
100000,0.4225
100400,0.325
100800,0.37
101200,0.3775
101600,0.34
102000,0.3625
102400,0.4225
102800,0.46
103200,0.46
103600,0.46
104000,0.415
104400,0.4075
104800,0.385
105200,0.46
105600,0.43
106000,0.49
106400,0.4075
106800,0.445
107200,0.4075
107600,0.49
108000,0.5425
108400,0.3775
108800,0.5275
109200,0.52
109600,0.34
110000,0.385
110400,0.37
110800,0.5425
111200,0.415
111600,0.4675
112000,0.37
112400,0.4525
112800,0.505
113200,0.43
113600,0.37
114000,0.4675
114400,0.4975
114800,0.43
115200,0.4525
115600,0.55
116000,0.4075
116400,0.505
116800,0.4075
117200,0.325
117600,0.565
118000,0.4825
118400,0.49
118800,0.4525
119200,0.52
119600,0.5125
120000,0.505
