iterations, average_reward
400,0.0025
800,0.1975
1200,0.3175
1600,0.19
2000,0.3325
2400,0.2575
2800,0.415
3200,0.3025
3600,0.175
4000,0.2725
4400,0.2875
4800,0.385
5200,0.25
5600,0.265
6000,0.1675
6400,0.3175
6800,0.31
7200,0.1825
7600,0.1675
8000,0.2725
8400,0.4375
8800,0.2875
9200,0.2575
9600,0.31
10000,0.265
10400,0.31
10800,0.235
11200,0.16
11600,0.265
12000,0.31
12400,0.355
12800,0.19
13200,0.295
13600,0.3625
14000,0.3025
14400,0.2125
14800,0.355
15200,0.3475
15600,0.31
16000,0.2575
16400,0.3475
16800,0.2575
17200,0.28
17600,0.2275
18000,0.25
18400,0.4825
18800,0.25
19200,0.34
19600,0.2875
20000,0.355
20400,0.3775
20800,0.28
21200,0.2425
21600,0.385
22000,0.4375
22400,0.355
22800,0.28
23200,0.3475
23600,0.3475
24000,0.325
24400,0.295
24800,0.4225
25200,0.3925
25600,0.3925
26000,0.355
26400,0.3775
26800,0.1975
27200,0.2725
27600,0.2425
28000,0.3625
28400,0.3925
28800,0.43
29200,0.3325
29600,0.2875
30000,0.28
30400,0.415
30800,0.3775
31200,0.43
31600,0.415
32000,0.415
32400,0.235
32800,0.3175
33200,0.3625
33600,0.415
34000,0.2875
34400,0.28
34800,0.3775
35200,0.415
35600,0.43
36000,0.4075
36400,0.4075
36800,0.4225
37200,0.385
37600,0.4675
38000,0.3775
38400,0.385
38800,0.34
39200,0.475
39600,0.385
40000,0.355
40400,0.37
40800,0.31
41200,0.3775
41600,0.295
42000,0.3025
42400,0.3475
42800,0.475
43200,0.5575
43600,0.4225
44000,0.4375
44400,0.3775
44800,0.4375
45200,0.415
45600,0.4225
46000,0.415
46400,0.5125
46800,0.4375
47200,0.3175
47600,0.415
48000,0.49
48400,0.3775
48800,0.34
49200,0.46
49600,0.3475
50000,0.3625
50400,0.49
50800,0.43
51200,0.4225
51600,0.445
52000,0.415
52400,0.46
52800,0.4675
53200,0.4525
53600,0.46
54000,0.4825
54400,0.4075
54800,0.3325
55200,0.3775
55600,0.505
56000,0.4
56400,0.4825
56800,0.535
57200,0.445
57600,0.4825
58000,0.43
58400,0.415
58800,0.5275
59200,0.4375
59600,0.43
60000,0.43
60400,0.445
60800,0.5125
61200,0.4825
61600,0.55
62000,0.415
62400,0.505
62800,0.5425
63200,0.4375
63600,0.595
64000,0.3925
64400,0.4675
64800,0.5275
65200,0.4375
65600,0.3925
66000,0.49
66400,0.5275
66800,0.49
67200,0.37
67600,0.49
68000,0.3625
68400,0.4525
68800,0.4525
69200,0.4675
69600,0.4525
70000,0.49
70400,0.52
70800,0.5425
71200,0.6025
71600,0.5575
72000,0.415
72400,0.445
72800,0.52
73200,0.5125
73600,0.565
74000,0.55
74400,0.4825
74800,0.4825
75200,0.4075
75600,0.58
76000,0.5725
76400,0.505
76800,0.565
77200,0.52
77600,0.6775
78000,0.535
78400,0.52
78800,0.505
79200,0.565
79600,0.6025
80000,0.5125
80400,0.6025
80800,0.505
81200,0.535
81600,0.535
82000,0.5425
82400,0.6325
82800,0.505
83200,0.5875
83600,0.52
84000,0.5875
84400,0.52
84800,0.4975
85200,0.5125
85600,0.5725
86000,0.55
86400,0.4825
86800,0.61
87200,0.6025
87600,0.58
88000,0.6775
88400,0.6925
88800,0.5425
89200,0.4975
89600,0.6025
90000,0.55
90400,0.6025
90800,0.58
91200,0.5275
91600,0.52
92000,0.61
92400,0.58
92800,0.64
93200,0.46
93600,0.715
94000,0.5875
94400,0.61
94800,0.5575
95200,0.5575
95600,0.5725
96000,0.64
96400,0.64
96800,0.6775
97200,0.565
97600,0.595
98000,0.58
98400,0.565
98800,0.6025
99200,0.595
99600,0.6925
100000,0.64
100400,0.6625
100800,0.61
101200,0.61
101600,0.625
102000,0.6775
102400,0.64
102800,0.64
103200,0.6325
103600,0.6475
104000,0.6775
104400,0.6175
104800,0.6625
105200,0.6775
105600,0.6775
106000,0.6175
106400,0.61
106800,0.6625
107200,0.6475
107600,0.5725
108000,0.6625
108400,0.6475
108800,0.64
109200,0.64
109600,0.6325
110000,0.6775
110400,0.6475
110800,0.7225
111200,0.7375
111600,0.565
112000,0.6025
112400,0.6925
112800,0.5875
113200,0.6175
113600,0.5875
114000,0.6175
114400,0.7075
114800,0.715
115200,0.6325
115600,0.775
116000,0.76
116400,0.565
116800,0.685
117200,0.685
117600,0.715
118000,0.6625
118400,0.6925
118800,0.76
119200,0.6325
119600,0.715
120000,0.67
