iterations, average_reward
400,0.295
800,0.2575
1200,0.235
1600,0.205
2000,0.355
2400,0.2575
2800,0.25
3200,0.355
3600,0.415
4000,0.3025
4400,0.2275
4800,0.2575
5200,0.295
5600,0.2425
6000,0.265
6400,0.3475
6800,0.3625
7200,0.2875
7600,0.1975
8000,0.2125
8400,0.31
8800,0.265
9200,0.265
9600,0.2725
10000,0.2725
10400,0.385
10800,0.34
11200,0.265
11600,0.4075
12000,0.295
12400,0.22
12800,0.2875
13200,0.2725
13600,0.2425
14000,0.205
14400,0.3175
14800,0.2575
15200,0.2575
15600,0.13
16000,0.2425
16400,0.2725
16800,0.3775
17200,0.2725
17600,0.355
18000,0.31
18400,0.28
18800,0.19
19200,0.22
19600,0.4075
20000,0.2425
20400,0.34
20800,0.37
21200,0.325
21600,0.4075
22000,0.355
22400,0.3925
22800,0.2275
23200,0.3775
23600,0.2875
24000,0.2875
24400,0.3475
24800,0.4525
25200,0.385
25600,0.3775
26000,0.2425
26400,0.3775
26800,0.3025
27200,0.3325
27600,0.4
28000,0.31
28400,0.3025
28800,0.1975
29200,0.355
29600,0.3925
30000,0.3625
30400,0.3325
30800,0.325
31200,0.3175
31600,0.3625
32000,0.445
32400,0.325
32800,0.34
33200,0.4075
33600,0.2875
34000,0.3925
34400,0.415
34800,0.4375
35200,0.4525
35600,0.3325
36000,0.2425
36400,0.3925
36800,0.37
37200,0.475
37600,0.3325
38000,0.37
38400,0.4375
38800,0.4525
39200,0.2875
39600,0.3775
40000,0.43
40400,0.43
40800,0.4225
41200,0.3325
41600,0.4525
42000,0.43
42400,0.2875
42800,0.4825
43200,0.3475
43600,0.37
44000,0.46
44400,0.4675
44800,0.49
45200,0.4225
45600,0.4525
46000,0.415
46400,0.4
46800,0.385
47200,0.4
47600,0.385
48000,0.4825
48400,0.4225
48800,0.4075
49200,0.34
49600,0.3925
50000,0.3475
50400,0.4
50800,0.505
51200,0.4
51600,0.385
52000,0.2875
52400,0.4225
52800,0.46
53200,0.3925
53600,0.52
54000,0.46
54400,0.43
54800,0.505
55200,0.34
55600,0.5425
56000,0.49
56400,0.4375
56800,0.445
57200,0.4525
57600,0.4825
58000,0.5425
58400,0.415
58800,0.445
59200,0.4675
59600,0.4975
60000,0.3775
60400,0.46
60800,0.505
61200,0.385
61600,0.4975
62000,0.445
62400,0.4675
62800,0.43
63200,0.505
63600,0.385
64000,0.4825
64400,0.52
64800,0.52
65200,0.5275
65600,0.55
66000,0.5575
66400,0.475
66800,0.4225
67200,0.565
67600,0.58
68000,0.3925
68400,0.49
68800,0.49
69200,0.5125
69600,0.64
70000,0.46
70400,0.52
70800,0.5275
71200,0.4
71600,0.505
72000,0.4975
72400,0.52
72800,0.58
73200,0.4075
73600,0.4225
74000,0.43
74400,0.5125
74800,0.595
75200,0.5275
75600,0.6025
76000,0.52
76400,0.5125
76800,0.49
77200,0.4975
77600,0.5275
78000,0.4975
78400,0.5125
78800,0.61
79200,0.565
79600,0.475
80000,0.535
80400,0.52
80800,0.5875
81200,0.5725
81600,0.5725
82000,0.5275
82400,0.565
82800,0.61
83200,0.6175
83600,0.55
84000,0.505
84400,0.6475
84800,0.5725
85200,0.505
85600,0.6625
86000,0.5875
86400,0.4675
86800,0.595
87200,0.655
87600,0.5275
88000,0.58
88400,0.6475
88800,0.58
89200,0.5875
89600,0.5875
90000,0.5275
90400,0.5275
90800,0.625
91200,0.55
91600,0.64
92000,0.5575
92400,0.6325
92800,0.64
93200,0.5725
93600,0.6775
94000,0.5875
94400,0.655
94800,0.61
95200,0.6025
95600,0.5875
96000,0.535
96400,0.655
96800,0.5125
97200,0.6025
97600,0.625
98000,0.6625
98400,0.61
98800,0.6025
99200,0.715
99600,0.6175
100000,0.6025
100400,0.5575
100800,0.6175
101200,0.6325
101600,0.655
102000,0.7075
102400,0.5875
102800,0.595
103200,0.655
103600,0.64
104000,0.5275
104400,0.64
104800,0.685
105200,0.655
105600,0.6775
106000,0.6625
106400,0.625
106800,0.655
107200,0.6925
107600,0.7375
108000,0.6475
108400,0.6625
108800,0.6925
109200,0.6175
109600,0.7075
110000,0.685
110400,0.6175
110800,0.7375
111200,0.58
111600,0.7375
112000,0.6625
112400,0.6775
112800,0.6625
113200,0.6625
113600,0.6175
114000,0.625
114400,0.6925
114800,0.6625
115200,0.715
115600,0.6175
116000,0.7225
116400,0.6775
116800,0.715
117200,0.7
117600,0.67
118000,0.61
118400,0.7
118800,0.715
119200,0.6925
119600,0.655
120000,0.595
120400,0.7
120800,0.6475
121200,0.7525
121600,0.625
122000,0.7825
122400,0.73
