train-brain-experiment-02.html:117 -----------------------------------------------------------------------
train-brain-experiment-02.html:118 *** Started Learning: upto max. average rewards reaches 0.9 ***
train-brain-experiment-02.html:119 -----------------------------------------------------------------------
train-brain-experiment-02.html:156 # iterations done: 400, average Reward: 0.295
train-brain-experiment-02.html:156 # iterations done: 800, average Reward: 0.2575
train-brain-experiment-02.html:156 # iterations done: 1200, average Reward: 0.235
train-brain-experiment-02.html:156 # iterations done: 1600, average Reward: 0.205
train-brain-experiment-02.html:156 # iterations done: 2000, average Reward: 0.355
train-brain-experiment-02.html:156 # iterations done: 2400, average Reward: 0.2575
train-brain-experiment-02.html:156 # iterations done: 2800, average Reward: 0.25
train-brain-experiment-02.html:156 # iterations done: 3200, average Reward: 0.355
train-brain-experiment-02.html:156 # iterations done: 3600, average Reward: 0.415
train-brain-experiment-02.html:156 # iterations done: 4000, average Reward: 0.3025
train-brain-experiment-02.html:156 # iterations done: 4400, average Reward: 0.2275
train-brain-experiment-02.html:156 # iterations done: 4800, average Reward: 0.2575
train-brain-experiment-02.html:156 # iterations done: 5200, average Reward: 0.295
train-brain-experiment-02.html:156 # iterations done: 5600, average Reward: 0.2425
train-brain-experiment-02.html:156 # iterations done: 6000, average Reward: 0.265
train-brain-experiment-02.html:156 # iterations done: 6400, average Reward: 0.3475
train-brain-experiment-02.html:156 # iterations done: 6800, average Reward: 0.3625
train-brain-experiment-02.html:156 # iterations done: 7200, average Reward: 0.2875
train-brain-experiment-02.html:156 # iterations done: 7600, average Reward: 0.1975
train-brain-experiment-02.html:156 # iterations done: 8000, average Reward: 0.2125
train-brain-experiment-02.html:156 # iterations done: 8400, average Reward: 0.31
train-brain-experiment-02.html:156 # iterations done: 8800, average Reward: 0.265
train-brain-experiment-02.html:156 # iterations done: 9200, average Reward: 0.265
train-brain-experiment-02.html:156 # iterations done: 9600, average Reward: 0.2725
train-brain-experiment-02.html:156 # iterations done: 10000, average Reward: 0.2725
train-brain-experiment-02.html:156 # iterations done: 10400, average Reward: 0.385
train-brain-experiment-02.html:156 # iterations done: 10800, average Reward: 0.34
train-brain-experiment-02.html:156 # iterations done: 11200, average Reward: 0.265
train-brain-experiment-02.html:156 # iterations done: 11600, average Reward: 0.4075
train-brain-experiment-02.html:156 # iterations done: 12000, average Reward: 0.295
train-brain-experiment-02.html:156 # iterations done: 12400, average Reward: 0.22
train-brain-experiment-02.html:156 # iterations done: 12800, average Reward: 0.2875
train-brain-experiment-02.html:156 # iterations done: 13200, average Reward: 0.2725
train-brain-experiment-02.html:156 # iterations done: 13600, average Reward: 0.2425
train-brain-experiment-02.html:156 # iterations done: 14000, average Reward: 0.205
